Nombre,Descripcion
Parque Nacional Francis Caamaño (Playa Caracoles),"El Parque Nacional Francisco Alberto Caamaño, está constituido por una extensa franja de bosque que incluye vastas extensiones de bosque seco y bosque de transición, localizados en las estribaciones sur del macizo de la Codillera Central. En este territorio existe una gama diversa de recursos de extraordinarias importancia, que van desde grandes extensiones de bosques con plantas únicas, singulares y particulares de la zona, fuentes hídricas, recursos arqueológicos, históricos y culturales, escenarios de gran belleza escénica para fomentar el ecoturismo, y una gran diversidad faunística."
Monumento Natural Laguna Cabarete Y Goleta. ,"El área protegida posee hermosos paisajes y una composición florísticas muy importante, reportes de unas 55 especies endémicas y raras, que incluyen árboles, arbustos, epifitas, parasitas, lianas, trepadoras y otras.  Resultan de gran interés las zonas de humedales, en las que el visitante puede observar extensas lagunas donde viven gran cantidad de aves."
Monumento Natural Salto De Jimenoa.,"El Monumento Natural Salto de Jimenoa se caracteriza por sus paisajes grandilocuentes alrededor de la caída del río Jimenoa, junto a los saltitos menores que le siguen y que se desarrollan en su cuenca media, así como los bosques latifoliados y mixtos (hojas anchas y coníferas) que circundan su entorno, más los espacios vecinos de la cuenca media – alta del Río Camú, donde se conservan excelentes muestras del bosque latifoliado húmedo. El conjunto se compone de dos saltos: Salto de Jimenoa Uno, y Salto de Jimenoa Dos. Las formaciones rocosas que yacen en su lecho o se levantan en sus orillas, la playa que se extiende bajo la cascada, los charcos que dejan la corriente y la diversidad de plantas y animales nutren su ecosistema."
Monumento Natural Isla  Catalina. ,"La Isla Catalina tiene tres puntas: Punta Berro al sur, Punta Blandino al norte, y Punta Pérez al suroeste, con dos hermosas playas de blancas arenas que ocupan más de dos terceras parte de su litoral, una al este y otra al suroeste. Tiene costas rocosas muy singulares, las cuales bordean su parte meridional, formando impresionantes farallones en algunos casos y acantilados en otros. "
Monumento Natural Salto De Socoa ,"Esta importante unidad de conservación se declara con el propósito de conservar el escenario natural más impresionante del curso medio del Río Socoa, cuyo entorno se encuentra actualmente rodeado de la típica floresta o vegetación arbórea siempre verde de los ambientes tropicales más representativos del hemisferio norte del planeta y la biodiversidad insular del Caribe, atributos que se pueden aprovechar perfectamente para el desarrollo del ecoturismo y el turismo científico. En sus dominios se desarrollara como un valor agregado y de gran trascendencia científica el Gran Parque de la Biodiversidad de la Hispaniola. Consta de más de 20 mil tareas de vegetación, fauna y flora nativa, donde los observadores de aves pueden deleitarse con variedades de ciguas, perdices y pájaros carpinteros."
Refugio De Vida Silvestre La Gran Laguna O Perucho.,"La Gran laguna o Perucho, se considera una de las lagunas que sirve de refugio a la mayor variedad de especies en las diferentes formas de vida; acuática, aérea y terrestre, donde podemos encontrar un bosque de mangles en sus tres especies de conservado en estado natural. Esta área protegida se encuentra enmarcada dentro de un Bosque Húmedo Subtropical y del Bosque costero – marino.  "
Refugio de Vida Silvestre Laguna Bávaro Y El Caletón,"Las Lagunas de Bávaro y la Laguna Caletón, se interconectan por una franja estrecha de humedales que se extienden hacia el Norte por unos 15 km hasta El Macao. Este sistema de laguna corresponde a una depresión en donde se capta la escorrentía de las precipitaciones. En la mayor parte de Llanura Costera del Caribe se presenta el Bosque Húmedo Subtropical. Dicho mapa se elaboró utilizando la clasificación de  Holdridge. La parte más oriental de la Llanura, en donde se encuentran las lagunas de Bávaro y el Caletón, se presenta en el mismo mapa como un Bosque Seco Subtropical. "
Refugio De Vida Silvestre Río Higuamo.,"Se crea el Refugio de Vida Silvestre Río Higuamo con la finalidad de conservar la integridad de la gran alfombra de manglar que se forma a todo lo largo de la ría comprendida entre la porción del estuario utilizada para fines portuarios y la confluencia de los manantiales que preceden la confluencia de los ríos Magua e Higuamo hogar de innumerables especies de la avifauna nativa endémica y migratoria, así como poblaciones modernas de animales estuarinos costeros y marinos actualmente amenazados por los altos niveles de contaminación de este enorme cuerpo de agua."
Refugio De Vida Silvestre Laguna Redonda Y Limón.,"la Laguna Redonda pertenece a la clase V, siendo la cuarta entre las más grandes de la isla. Tiene una profundidad promedio de 1.4mt y sus aguas se encuentran en continuo movimiento por la fuerza tangencial de los vientos del Este. Toma su nombre de la montaña Redonda de la Cordillera Oriental en cuya falda reposa. La Laguna es salobre y tiene acceso al mar por el Caño Celedonio. La Laguna Limón, está bordeada por ciénagas y terrenos sujetos a inundaciones con el predominio de plantas herbáceas y palustres. Una parte de las ciénagas es utilizada para el cultivo de arroz. Ambas lagunas se encuentran bordeadas de manglar en su orilla más próxima. "
Refugio De Vida Silvestre Río Soco.,"El Refugio de Vida Silvestre Río Soco es un área protegida de gran belleza escénica;  presenta una exuberante vegetación en sus márgenes donde se concentra gran cantidad de fauna. Así mismo la corriente fluvial casi no presenta contaminación lo que le confiere un especial interés como reserva de la fauna fluvial de la isla, abarca una franja de 250 m. a partir de cada una de las márgenes del río, desde el pueblo de Ramón Santana hasta su desembocadura. Incluye igualmente todos los manglares del entorno, los caños cercanos a su desembocadura, como el caño Patricio, las playas Montero y Boca de Soco y la zona costera comprendida entre ambas. El Río Soco con sus frondosas riberas cubiertas de vegetación tropical supone una característica básica del paisaje de la zona dotándolo de una espectacularidad evidente, al ser este río uno de los mas vírgenes que aún se mantienen en el país y contar con un considerable caudal de agua, además de una anchura que en ocasiones supera los cien metros."
Parque Mirador Del Oeste. ,"El parque forma parte del Cinturón Verde y protege los cursos de agua del río Haina, conserva humedales, bosques de galerías originales y hábitats especiales que sirven de refugio a las aves acuáticas migratorias y a otras especies de gran valor, así como a las ruinas históricas del Palacio de Engombe y de Palavé. La zona es un punto intermedio en la Ruta del Esclavo o de los Ingenios, en proceso de ser reconocida por la UNESCO como Patrimonio de la Humanidad. Dentro del territorio de Engombe se encuentra una comunidad llamada “Palacio de Engombe”, donde se encuentra ubicado el Ingenio de Santa Ana, la cual está situada a 500 metros del peaje de la autopista 6 de Noviembre que conduce desde la ciudad de Santo Domingo hacia la provincia San Cristóbal y limitada por las caudalosas aguas del río Haina. Alrededor del palacio de Engombe se forman varios humedales y lagunas que sirven de refugio a una gran diversidad de aves acuáticas nativas y migratorias entre otras especies animales de gran valor."
